,index,Country or Area,Year,Commodity,Trade (USD),Weight (kg),Quantity
8452,89944,Honduras,2004,"Bovine edible offal, fresh or chilled",68538.0,246493.0,246493.0
8453,89977,Honduras,2003,"Bovine cuts bone in, fresh or chilled",200763.0,108875.0,108875.0
8454,89979,Honduras,2003,"Bovine cuts boneless, fresh or chilled",354760.0,152075.0,152075.0
8455,89983,Honduras,2003,"Bovine cuts boneless, frozen",39498.0,23406.0,23406.0
8456,89998,Honduras,2003,"Bovine edible offal, fresh or chilled",13000.0,43545.0,43545.0
8457,90001,Honduras,2003,"Bovine edible offal, frozen except livers and tongues",3300.0,13154.0,13154.0
8458,90034,Honduras,2002,"Bovine cuts bone in, fresh or chilled",239382.0,140855.0,140855.0
8459,90036,Honduras,2002,"Bovine cuts boneless, fresh or chilled",487690.0,215834.0,215834.0
8460,90040,Honduras,2002,"Bovine cuts boneless, frozen",4244.0,458.0,458.0
8461,90041,Honduras,2002,"Bovine cuts boneless, frozen",3134.0,322.0,322.0
8462,90061,Honduras,2002,"Bovine edible offal, frozen except livers and tongues",173311.0,262523.0,262523.0
8463,90089,Honduras,2001,"Bovine carcasses and half carcasses, fresh or chilled",65.0,28.0,28.0
8464,90092,Honduras,2001,"Bovine cuts boneless, fresh or chilled",721908.0,436901.0,436901.0
8465,90093,Honduras,2001,"Bovine cuts boneless, fresh or chilled",108414.0,60183.0,60183.0
8466,90097,Honduras,2001,"Bovine cuts boneless, frozen",2537.0,1097.0,1097.0
8467,90112,Honduras,2001,"Bovine edible offal, frozen except livers and tongues",23234.0,49120.0,49120.0
8468,90142,Honduras,2000,"Bovine cuts bone in, fresh or chilled",38388.0,22377.0,22377.0
8469,90144,Honduras,2000,"Bovine cuts boneless, fresh or chilled",1229736.0,678977.0,678977.0
8470,90145,Honduras,2000,"Bovine cuts boneless, fresh or chilled",195540.0,108423.0,108423.0
8471,90149,Honduras,2000,"Bovine cuts boneless, frozen",291247.0,171952.0,171952.0
8472,90168,Honduras,2000,"Bovine edible offal, frozen except livers and tongues",10460.0,22537.0,22537.0
8473,90196,Honduras,1999,"Bovine carcasses and half carcasses, fresh or chilled",53710.0,17761.0,17761.0
8474,90198,Honduras,1999,"Bovine cuts bone in, fresh or chilled",31328.0,18042.0,18042.0
8475,90200,Honduras,1999,"Bovine cuts boneless, fresh or chilled",604072.0,272647.0,272647.0
8476,90203,Honduras,1999,"Bovine cuts bone in, frozen",152042.0,89664.0,89664.0
8477,90205,Honduras,1999,"Bovine cuts boneless, frozen",1186474.0,577908.0,577908.0
8478,90223,Honduras,1999,"Bovine edible offal, frozen except livers and tongues",13648.0,22136.0,22136.0
8479,90252,Honduras,1998,"Bovine cuts bone in, fresh or chilled",58184.0,45175.0,45175.0
8480,90254,Honduras,1998,"Bovine cuts boneless, fresh or chilled",1286055.0,440514.0,440514.0
8481,90257,Honduras,1998,"Bovine cuts bone in, frozen",655683.0,290757.0,290757.0
8482,90259,Honduras,1998,"Bovine cuts boneless, frozen",1812270.0,882487.0,882487.0
8483,90280,Honduras,1998,"Bovine tongues, frozen",15405.0,12125.0,12125.0
8484,90283,Honduras,1998,"Bovine edible offal, frozen except livers and tongues",23102.0,14624.0,14624.0
8485,90314,Honduras,1997,"Bovine cuts bone in, fresh or chilled",272693.0,43953.0,43953.0
8486,90316,Honduras,1997,"Bovine cuts boneless, fresh or chilled",600549.0,106628.0,106628.0
8487,90319,Honduras,1997,"Bovine cuts bone in, frozen",8679842.0,4976097.0,4976097.0
8488,90321,Honduras,1997,"Bovine cuts boneless, frozen",1301748.0,302875.0,302875.0
8489,90336,Honduras,1997,"Bovine edible offal, fresh or chilled",58335.0,17593.0,17593.0
8490,90339,Honduras,1997,"Bovine edible offal, frozen except livers and tongues",42416.0,13710.0,13710.0
8491,90363,Honduras,1996,"Bovine carcasses and half carcasses, fresh or chilled",46225.0,19476.0,19476.0
8492,90365,Honduras,1996,"Bovine cuts bone in, fresh or chilled",90683.0,56843.0,56843.0
8493,90367,Honduras,1996,"Bovine cuts boneless, fresh or chilled",9212286.0,4850049.0,4850049.0
8494,90369,Honduras,1996,"Bovine carcasses and half carcasses, frozen",116912.0,80964.0,80964.0
8495,90371,Honduras,1996,"Bovine cuts bone in, frozen",60805.0,40179.0,40179.0
8496,90373,Honduras,1996,"Bovine cuts boneless, frozen",1412126.0,745040.0,745040.0
8497,90384,Honduras,1996,"Bovine edible offal, fresh or chilled",37479.0,28312.0,28312.0
8498,90387,Honduras,1996,"Bovine edible offal, frozen except livers and tongues",18525.0,42593.0,42593.0
8499,90416,Honduras,1995,"Bovine cuts boneless, fresh or chilled",824818.0,357476.0,357476.0
8500,90420,Honduras,1995,"Bovine cuts boneless, frozen",12335085.0,5567819.0,5567819.0
8501,90436,Honduras,1995,"Bovine edible offal, frozen except livers and tongues",2800.0,6375.0,6375.0
8502,90463,Honduras,1994,"Bovine cuts bone in, fresh or chilled",2104242.0,904769.0,904769.0
8503,90465,Honduras,1994,"Bovine cuts boneless, fresh or chilled",4217431.0,1702447.0,1702447.0
8504,90467,Honduras,1994,"Bovine cuts bone in, frozen",4995188.0,2247375.0,2247375.0
8505,90469,Honduras,1994,"Bovine cuts boneless, frozen",26433744.0,11231986.0,11231986.0
8506,90478,Honduras,1994,"Bovine edible offal, fresh or chilled",24921.0,19937.0,19937.0
8507,90480,Honduras,1994,"Bovine edible offal, frozen except livers and tongues",73499.0,60421.0,60421.0
8508,90502,Hungary,2018,"Bovine carcasses and half carcasses, fresh or chilled",11502720.0,3670662.0,3670662.0
8509,90504,Hungary,2018,"Bovine cuts bone in, fresh or chilled",26298134.0,7664503.0,7664503.0
8510,90506,Hungary,2018,"Bovine cuts boneless, fresh or chilled",6506080.0,1217680.0,1217680.0
8511,90508,Hungary,2018,"Bovine carcasses and half carcasses, frozen",804.0,233.0,233.0
8512,90510,Hungary,2018,"Bovine cuts bone in, frozen",1794742.0,204211.0,204211.0
8513,90512,Hungary,2018,"Bovine cuts boneless, frozen",6043666.0,1430588.0,1430588.0
8514,90540,Hungary,2018,"Bovine edible offal, fresh or chilled",528891.0,3230487.0,3230487.0
8515,90542,Hungary,2018,"Bovine tongues, frozen",310547.0,146763.0,146763.0
8516,90544,Hungary,2018,"Bovine livers, frozen",459277.0,635224.0,635224.0
8517,90546,Hungary,2018,"Bovine edible offal, frozen except livers and tongues",779744.0,1225052.0,1225052.0
8518,90587,Hungary,2018,"Bovine meat salted, dried or smoked",116123.0,7681.90303625586,7681.90303625586
8519,90591,Hungary,2017,"Bovine carcasses and half carcasses, fresh or chilled",10871568.0,3940242.0,3940242.0
8520,90593,Hungary,2017,"Bovine cuts bone in, fresh or chilled",20766395.0,6902991.0,6902991.0
8521,90595,Hungary,2017,"Bovine cuts boneless, fresh or chilled",3872536.0,757497.0,757497.0
8522,90597,Hungary,2017,"Bovine carcasses and half carcasses, frozen",600.0,196.0,196.0
8523,90599,Hungary,2017,"Bovine cuts bone in, frozen",1447585.0,191335.0,191335.0
8524,90601,Hungary,2017,"Bovine cuts boneless, frozen",3992660.0,1180403.0,1180403.0
8525,90628,Hungary,2017,"Bovine edible offal, fresh or chilled",123052.0,290804.0,290804.0
8526,90630,Hungary,2017,"Bovine tongues, frozen",120844.0,47011.0,47011.0
8527,90632,Hungary,2017,"Bovine livers, frozen",505949.0,583283.0,583283.0
8528,90634,Hungary,2017,"Bovine edible offal, frozen except livers and tongues",3060790.0,13453822.0,13453822.0
8529,90676,Hungary,2017,"Bovine meat salted, dried or smoked",202420.0,14734.8926351572,14734.8926351572
8530,90680,Hungary,2016,"Bovine carcasses and half carcasses, fresh or chilled",9085675.0,3841618.0,3841618.0
8531,90682,Hungary,2016,"Bovine cuts bone in, fresh or chilled",20022761.0,7978020.0,7978020.0
8532,90684,Hungary,2016,"Bovine cuts boneless, fresh or chilled",1587002.0,346281.0,346281.0
8533,90686,Hungary,2016,"Bovine carcasses and half carcasses, frozen",5494.0,526.0,526.0
8534,90688,Hungary,2016,"Bovine cuts bone in, frozen",742011.0,53071.0,53071.0
8535,90690,Hungary,2016,"Bovine cuts boneless, frozen",4552304.0,1321772.0,1321772.0
8536,90720,Hungary,2016,"Bovine edible offal, fresh or chilled",675122.0,4427416.0,4427416.0
8537,90722,Hungary,2016,"Bovine tongues, frozen",29884.0,10014.0,10014.0
8538,90724,Hungary,2016,"Bovine livers, frozen",1086710.0,1409453.0,1409453.0
8539,90726,Hungary,2016,"Bovine edible offal, frozen except livers and tongues",1850080.0,9609482.0,9609482.0
8540,90768,Hungary,2016,"Bovine meat salted, dried or smoked",80243.0,8596.99983793555,8596.99983793555
8541,90772,Hungary,2015,"Bovine carcasses and half carcasses, fresh or chilled",10009507.0,4006990.0,4006990.0
